,0
0,550.57916
1,571.6175
2,622.69055
3,704.8915
4,785.52924
5,817.1291
6,754.6999
7,727.4902
8,717.17914
9,665.95667
10,589.5123
11,548.8509
12,554.0015
13,566.49
14,613.8145
15,701.09503
16,782.54504
17,830.8669
18,756.5467
19,718.5407
20,713.72516
21,658.9312
22,591.2643
23,553.36786
24,549.2035
25,555.8625
26,619.8257
27,696.01886
28,786.7703
29,833.3966
30,776.23364
31,740.91394
32,731.9607
33,667.1108
34,596.8428
35,554.359
36,547.1137
37,682.00446
38,628.8045
39,712.10736
40,787.112
41,843.64136
42,751.06586
43,734.64624
44,718.06335
45,678.9641
46,614.7228
47,559.573
48,549.80615
49,576.3314
50,627.7601
51,710.0881
52,786.0837
53,839.5961
54,771.1777
55,735.6635
56,726.137
57,668.75214
58,597.3135
59,556.18835
60,545.5799
61,564.2131
62,617.75006
63,710.2036
64,797.03876
65,828.9171
66,748.55194
67,732.03436
68,722.638
69,670.20746
70,602.4655
71,552.03204
72,543.42834
73,567.6056
74,618.4114
75,707.96124
76,800.0584
77,833.4891
78,776.5989
79,742.543
80,724.99493
81,675.5444
82,607.73737
83,561.04205
84,552.3
85,569.9132
86,629.50726
87,714.09937
88,793.469
89,836.64014
90,768.29236
91,741.4982
92,736.0074
93,665.7727
94,599.64545
95,549.33307
96,748.8463
97,562.5631
98,621.36115
99,704.0357
100,794.8662
101,838.6365
102,767.6766
103,735.6542
104,725.73895
105,668.0943
106,605.20154
107,559.40247
108,547.7773
109,568.2105
110,629.90643
111,715.0971
112,803.2405
113,827.5988
114,769.49255
115,737.6925
116,741.2022
117,678.026
118,602.32684
119,562.4023
120,553.7861
121,572.1763
122,634.7591
123,719.8772
124,793.87823
125,845.46954
126,783.7443
127,745.4776
128,739.55884
129,674.0739
130,603.6428
131,564.2263
132,548.0705
133,569.0328
134,634.0275
135,722.13464
136,807.6991
137,841.48645
138,769.0736
139,749.9883
140,737.1192
141,675.98193
142,598.24835
143,558.54114
144,543.595
145,568.5786
146,628.69305
147,718.2699
148,800.1029
149,839.151
150,786.0087
151,744.7496
152,738.18274
153,675.43085
154,610.7055
155,565.72314
156,557.2289
157,569.70856
158,622.59985
159,708.74255
160,803.0598
161,848.1678
162,776.4542
163,735.557
164,728.0573
165,676.4739
166,607.1002
167,556.8092
168,547.5408
169,568.5442
170,627.24536
171,725.26276
172,795.3756
173,844.1596
174,770.2542
175,749.7168
176,733.7933
177,680.02924
178,609.04456
179,550.6321
180,549.3521
181,569.5804
182,638.5811
183,728.71545
184,799.1428
185,836.70276
186,784.15924
187,746.0178
188,741.5015
189,681.75934
190,605.481
191,558.9838
192,543.76184
193,568.98737
194,631.41125
195,719.752
196,794.12494
197,841.2259
198,787.8647
199,743.45483
200,746.50574
201,684.2365
202,616.37317
203,565.7789
204,556.7438
205,582.83636
206,646.02014
207,720.3844
208,813.12524
209,850.3479
210,796.04285
211,755.39703
212,759.8677
213,683.0078
214,605.74817
215,557.1746
216,482.79163
217,578.2775
218,634.26074
219,729.3207
220,813.88727
221,836.1251
222,772.05743
223,748.3804
224,745.57477
225,684.076
226,607.0826
227,553.8025
228,559.4678
229,576.2264
230,634.1783
231,736.2573
232,810.861
233,847.6324
234,796.0556
235,749.4809
236,740.76935
237,680.882
238,605.5621
239,566.63007
240,559.4018
241,580.194
242,638.9965
243,738.5231
244,824.77234
245,848.00055
246,791.9777
247,746.44934
248,752.82587
249,684.1044
250,606.6748
251,571.32
252,558.58673
253,576.6056
254,646.59186
255,723.6101
256,817.5214
257,847.47656
258,791.52655
259,752.96295
260,746.83826
261,684.5008
262,608.81647
263,559.08826
264,557.61774
265,581.5553
266,650.7221
267,737.0079
268,820.2748
269,845.47186
270,796.13525
271,759.95013
272,749.7334
273,681.21063
274,612.756
275,567.0747
276,564.10974
277,587.16724
278,660.3492
279,749.03467
280,824.4305
281,850.3506
282,791.4191
283,753.63916
284,754.52203
285,681.6116
286,627.283
287,568.9649
288,558.851
289,581.67847
290,654.9751
291,738.1967
292,817.18884
293,842.5981
294,783.357
295,759.70074
296,753.3167
297,694.84247
298,634.53235
299,569.6491
300,560.8141
301,586.8405
302,652.1992
303,747.61786
304,821.42633
305,838.796
306,803.4174
307,763.844
308,762.556
309,704.2304
310,630.96497
311,573.74176
312,563.078
313,590.7855
314,651.3877
315,746.86005
316,828.5326
317,858.3506
318,799.7716
319,758.3718
320,746.30853
321,689.9416
322,606.8883
323,556.56354
324,558.1947
325,588.2437
326,660.26086
327,757.85187
328,826.22064
329,850.2244
330,795.1784
331,765.6047
332,754.3743
333,692.83624
334,613.7376
335,570.67035
336,565.5522
337,590.20825
338,659.5878
339,746.5307
340,835.64075
341,857.3923
342,816.94293
343,763.98956
344,768.58386
345,693.41095
346,626.2557
347,572.23724
348,568.9092
349,599.6401
350,670.9873
351,760.9489
352,835.4014
353,857.65753
354,777.049
355,755.58936
356,753.8736
357,690.199
358,615.6115
359,561.3285
360,562.07855
361,592.72253
362,659.4824
363,763.47046
364,831.3308
365,854.33655
366,811.3961
367,762.4848
368,754.20184
369,688.6291
370,607.92816
371,566.8586
372,560.4181
373,600.47577
374,671.14484
375,774.9851
376,836.5238
377,862.0193
378,810.916
379,784.3082
380,768.93146
381,703.35736
382,624.81885
383,567.8803
384,571.3103
385,607.0728
386,668.6908
387,762.0977
388,832.6093
389,858.09753
390,810.905
391,784.97906
392,772.97894
393,701.76105
394,634.2213
395,568.43396
396,566.41974
397,599.9317
398,673.54224
399,759.5635
400,828.14685
401,849.527
402,806.90656
403,770.46375
404,765.01935
405,707.78015
