Column 1,Column 2,Column 3
9.204144531250000000e+03,9.168870117187500000e+03,9.199747070312500000e+03
9.203848632812500000e+03,9.170090820312500000e+03,9.201716796875000000e+03
9.187200195312500000e+03,9.152452148437500000e+03,9.186094726562500000e+03
9.166749023437500000e+03,9.130140625000000000e+03,9.165836914062500000e+03
9.146554687500000000e+03,9.108376953125000000e+03,9.145778320312500000e+03
9.159304687500000000e+03,9.121634765625000000e+03,9.158408203125000000e+03
9.203313476562500000e+03,9.170050781250000000e+03,9.201422851562500000e+03
9.205416992187500000e+03,9.171040039062500000e+03,9.199591796875000000e+03
9.205079101562500000e+03,9.171415039062500000e+03,9.202342773437500000e+03
9.205218750000000000e+03,9.170803710937500000e+03,9.201818359375000000e+03
9.205626953125000000e+03,9.171164062500000000e+03,9.201505859375000000e+03
9.201854492187500000e+03,9.166823242187500000e+03,9.196897460937500000e+03
9.201699218750000000e+03,9.166777343750000000e+03,9.196701171875000000e+03
9.202680664062500000e+03,9.169079101562500000e+03,9.200615234375000000e+03
9.187964843750000000e+03,9.153249023437500000e+03,9.186929687500000000e+03
9.165151367187500000e+03,9.128701171875000000e+03,9.164540039062500000e+03
9.147848632812500000e+03,9.109782226562500000e+03,9.147209960937500000e+03
9.157013671875000000e+03,9.119727539062500000e+03,9.156128906250000000e+03
9.205611328125000000e+03,9.172053710937500000e+03,9.202830078125000000e+03
9.205828125000000000e+03,9.170879882812500000e+03,9.202123046875000000e+03
9.205905273437500000e+03,9.172406250000000000e+03,9.201716796875000000e+03
9.205546875000000000e+03,9.170791992187500000e+03,9.200875000000000000e+03
9.204981445312500000e+03,9.170753906250000000e+03,9.199898437500000000e+03
9.198926757812500000e+03,9.163346679687500000e+03,9.192471679687500000e+03
9.203194335937500000e+03,9.168347656250000000e+03,9.198477539062500000e+03
9.205965820312500000e+03,9.171915039062500000e+03,9.203074218750000000e+03
9.199727539062500000e+03,9.165870117187500000e+03,9.198314453125000000e+03
9.168698242187500000e+03,9.132295898437500000e+03,9.167793945312500000e+03
9.139980468750000000e+03,9.100993164062500000e+03,9.139033203125000000e+03
9.181649414062500000e+03,9.146614257812500000e+03,9.181179687500000000e+03
9.206099609375000000e+03,9.172013671875000000e+03,9.202050781250000000e+03
9.204980468750000000e+03,9.170997070312500000e+03,9.201249023437500000e+03
9.204710937500000000e+03,9.171028320312500000e+03,9.201414062500000000e+03
9.205235351562500000e+03,9.171135742187500000e+03,9.202007812500000000e+03
9.204328125000000000e+03,9.169481445312500000e+03,9.199505859375000000e+03
9.203149414062500000e+03,9.169115234375000000e+03,9.199208984375000000e+03
9.202351562500000000e+03,9.166809570312500000e+03,9.197569335937500000e+03
9.205453125000000000e+03,9.171869140625000000e+03,9.203049804687500000e+03
9.196321289062500000e+03,9.162213867187500000e+03,9.195251953125000000e+03
9.160522460937500000e+03,9.123353515625000000e+03,9.159830078125000000e+03
9.146154296875000000e+03,9.107582031250000000e+03,9.145407226562500000e+03
9.188806640625000000e+03,9.154145507812500000e+03,9.187551757812500000e+03
9.205625000000000000e+03,9.171950195312500000e+03,9.201233398437500000e+03
9.205428710937500000e+03,9.171479492187500000e+03,9.202059570312500000e+03
9.204650390625000000e+03,9.171043945312500000e+03,9.202312500000000000e+03
9.205059570312500000e+03,9.171123046875000000e+03,9.201296875000000000e+03
9.204776367187500000e+03,9.170596679687500000e+03,9.200160156250000000e+03
9.201539062500000000e+03,9.166550781250000000e+03,9.196386718750000000e+03
9.197155273437500000e+03,9.160903320312500000e+03,9.190806640625000000e+03
9.205556640625000000e+03,9.171381835937500000e+03,9.202495117187500000e+03
9.195985351562500000e+03,9.161827148437500000e+03,9.194590820312500000e+03
9.176382812500000000e+03,9.140748046875000000e+03,9.175715820312500000e+03
9.147696289062500000e+03,9.109006835937500000e+03,9.146880859375000000e+03
9.183073242187500000e+03,9.147801757812500000e+03,9.182213867187500000e+03
9.203653320312500000e+03,9.171253906250000000e+03,9.201695312500000000e+03
9.203554687500000000e+03,9.169398437500000000e+03,9.200334960937500000e+03
9.199950195312500000e+03,9.166336914062500000e+03,9.197923828125000000e+03
9.205613281250000000e+03,9.171352539062500000e+03,9.202464843750000000e+03
9.205223632812500000e+03,9.170580078125000000e+03,9.201041015625000000e+03
9.203181640625000000e+03,9.168532226562500000e+03,9.198270507812500000e+03
9.202206054687500000e+03,9.167107421875000000e+03,9.197211914062500000e+03
9.203250000000000000e+03,9.168440429687500000e+03,9.198629882812500000e+03
9.203508789062500000e+03,9.169819335937500000e+03,9.201432617187500000e+03
9.176928710937500000e+03,9.141265625000000000e+03,9.176328125000000000e+03
9.162998046875000000e+03,9.125839843750000000e+03,9.162143554687500000e+03
9.144580078125000000e+03,9.105721679687500000e+03,9.143717773437500000e+03
9.204981445312500000e+03,9.171709960937500000e+03,9.202318359375000000e+03
9.206163085937500000e+03,9.172551757812500000e+03,9.202673828125000000e+03
9.198983398437500000e+03,9.165468750000000000e+03,9.196975585937500000e+03
9.205914062500000000e+03,9.171519531250000000e+03,9.202158203125000000e+03
9.203991210937500000e+03,9.168751953125000000e+03,9.198594726562500000e+03
9.201942382812500000e+03,9.166858398437500000e+03,9.196295898437500000e+03
9.203775390625000000e+03,9.169192382812500000e+03,9.199571289062500000e+03
9.204610351562500000e+03,9.171002929687500000e+03,9.202309570312500000e+03
9.184858398437500000e+03,9.149836914062500000e+03,9.183633789062500000e+03
9.170868164062500000e+03,9.134841796875000000e+03,9.169986328125000000e+03
9.135952148437500000e+03,9.096711914062500000e+03,9.135087890625000000e+03
9.150853515625000000e+03,9.111684570312500000e+03,9.149889648437500000e+03
