,0
0,268.46237
1,280.87802
2,495.43634
3,748.157
4,500.05936
5,481.54584
6,594.7958
7,730.0628
8,742.6574
9,599.46625
10,366.96475
11,275.9177
12,263.96262
13,282.62814
14,540.42365
15,747.92334
16,521.6812
17,500.5034
18,563.73785
19,711.1689
20,742.42084
21,619.79193
22,335.3433
23,275.4846
24,271.15982
25,279.93753
26,546.94763
27,745.8516
28,492.1817
29,495.1932
30,559.0135
31,631.5728
32,732.83
33,592.5159
34,340.4252
35,274.63577
36,273.8815
37,282.12827
38,548.1608
39,743.1269
40,527.97565
41,481.9095
42,539.5112
43,706.2296
44,738.66205
45,607.79614
46,396.01025
47,1.7383471e+19
48,273.2916
49,277.46518
50,518.82825
51,742.9863
52,513.32794
53,503.6684
54,595.3476
55,696.70703
56,716.6651
57,585.4324
58,334.0226
59,275.73398
60,294.69394
61,282.68106
62,547.76184
63,743.0042
64,499.1588
65,498.32834
66,563.9968
67,700.1668
68,710.84973
69,593.05566
70,380.45984
71,275.70126
72,275.0403
73,287.17294
74,542.5018
75,751.5093
76,501.11847
77,494.05038
78,551.86694
79,681.1251
80,727.97205
81,613.1861
82,392.18765
83,275.71658
84,272.04825
85,284.5325
86,497.84985
87,732.91974
88,521.8224
89,504.30164
90,574.4928
91,644.6861
92,731.5064
93,594.932
94,324.86118
95,275.33768
96,275.76212
97,291.37704
98,539.1651
99,742.5731
100,484.4583
101,499.89462
102,571.13043
103,713.81067
104,742.36273
105,628.44135
106,362.57382
107,274.4908
108,270.3419
109,286.8168
110,554.99677
111,736.9
112,493.42706
113,502.67215
114,593.54535
115,695.6062
116,742.5023
117,623.4453
118,337.4598
119,275.81454
120,272.81522
121,288.1428
122,549.21716
123,737.2068
124,516.3507
125,503.57822
126,524.09784
127,627.5351
128,716.3787
129,614.7959
130,372.95386
131,275.45584
132,274.39798
133,298.9979
134,555.4927
135,741.5573
136,486.38205
137,505.25748
138,564.9898
139,729.05585
140,729.96765
141,686.41364
142,382.31186
143,275.5615
144,273.702
145,289.41708
146,555.4779
147,734.7578
148,489.0321
149,503.10126
150,589.2361
151,719.68066
152,733.35394
153,595.5973
154,317.76462
155,275.7408
156,273.37906
157,288.65964
158,547.01807
159,743.2457
160,490.2012
161,503.8895
162,503.2189
163,625.1373
164,705.76447
165,608.2713
166,447.31332
167,279.1639
168,21184.69
169,297.05753
170,550.8634
171,721.4789
172,484.08954
173,503.60812
174,543.36523
175,700.58997
176,729.0648
177,610.8166
178,364.77225
179,276.91318
180,274.71286
181,291.99826
182,546.45013
183,744.0875
184,488.41245
185,487.41965
186,590.1049
187,691.70856
188,734.0372
189,602.8708
190,383.1941
191,264.2988
192,266.4365
193,276.32327
194,552.7867
195,743.1475
196,508.4563
197,503.65814
198,519.80383
199,588.5492
200,656.8534
201,632.2919
202,399.50128
203,286.37967
204,274.19577
205,290.10464
206,549.82837
207,724.3277
208,481.69418
209,503.50677
210,526.36926
211,687.73737
212,718.9331
213,601.2649
214,338.11722
215,278.93448
216,271.96255
217,291.91763
218,575.75995
219,681.54663
220,493.32663
221,504.01572
222,550.55457
223,631.72314
224,741.7053
225,604.8751
226,403.626
227,285.1967
228,277.5195
229,303.98044
230,558.25385
231,731.03925
232,492.36
233,489.18066
234,526.06213
235,631.63763
236,673.34436
237,681.13043
238,333.96103
239,274.35245
240,270.3425
241,-12995.137
242,495.79764
243,729.4872
244,485.62473
245,505.10648
246,534.2389
247,650.549
248,731.0434
249,626.59094
250,374.3119
251,275.06662
252,274.08743
253,292.32065
254,560.7056
255,700.2674
256,483.6708
257,503.44882
258,517.62225
259,632.0512
260,646.228
261,682.9106
262,403.0989
263,277.03287
264,275.05838
265,296.43704
266,565.61
267,713.42676
268,485.45358
269,493.82983
270,529.8602
271,680.3511
272,725.143
273,619.3081
274,396.228
275,279.26797
276,274.75467
277,300.38126
278,570.8282
279,656.89343
280,485.59357
281,500.56235
282,514.5689
283,634.0393
284,723.74744
285,613.15796
286,379.72473
287,277.06686
288,274.9243
289,317.89322
290,581.41675
291,636.37555
292,484.9018
293,495.08902
294,526.9883
295,642.3164
296,710.58716
297,668.42584
298,374.62683
299,277.94327
300,274.84708
301,316.38968
302,584.0271
303,645.65674
304,481.24606
305,483.61655
306,505.18613
307,601.2089
308,645.2705
309,633.3337
310,400.86877
311,276.0875
312,275.03568
313,293.46817
314,551.85516
315,723.59064
316,481.64026
317,499.53787
318,538.1022
319,611.0531
320,694.3079
