,0
0,1109.0654
1,1187.3136
2,1114.1298
3,1036.26
4,931.3871
5,899.8334
6,981.09045
7,1017.5209
8,1034.548
9,1075.1212
10,1148.501
11,1102.8379
12,1119.64
13,1181.2363
14,1113.8115
15,1045.0527
16,938.9251
17,900.6593
18,983.3067
19,1022.7743
20,1033.3975
21,1071.6534
22,1138.3711
23,1082.3868
24,1084.3975
25,1186.4542
26,1121.2671
27,1061.4364
28,931.3659
29,891.90814
30,960.5388
31,1013.5509
32,1024.5657
33,1071.853
34,1141.5856
35,1132.0419
36,1107.7446
37,1179.4166
38,1104.8774
39,1043.737
40,926.7161
41,898.2016
42,962.4579
43,997.71216
44,1019.8717
45,1068.6306
46,1141.6742
47,1091.936
48,1090.9287
49,1171.7572
50,1114.462
51,1045.4558
52,930.5418
53,892.35925
54,968.1779
55,1007.8897
56,1024.2734
57,1077.4178
58,1140.5249
59,1115.5371
60,1117.5939
61,1185.9895
62,1123.0441
63,1037.1587
64,925.9596
65,894.4067
66,961.2271
67,1007.4854
68,1013.5665
69,1073.9296
70,1144.0912
71,1152.7507
72,1074.3352
73,1198.1079
74,1115.5282
75,1036.1868
76,927.08844
77,894.62134
78,954.6152
79,1000.6477
80,1022.42883
81,1074.1428
82,1137.6096
83,1086.4053
84,1050.9397
85,1219.5885
86,1111.1664
87,1047.2042
88,934.5149
89,892.2481
90,943.97705
91,985.5368
92,1014.88544
93,1072.6669
94,1132.6433
95,1114.8236
96,1137.128
97,1183.6388
98,1106.9868
99,1042.4673
100,940.03784
101,901.1457
102,966.3549
103,1005.27936
104,1026.1968
105,1071.5186
106,1138.4984
107,1089.7422
108,1108.983
109,1176.5615
110,1108.0608
111,1032.5197
112,922.84235
113,889.1398
114,953.1155
115,1010.73737
116,1030.4774
117,1071.1241
118,1127.4847
119,1141.0411
120,1058.3373
121,1164.623
122,1112.9211
123,1055.9353
124,921.791
125,883.8217
126,950.6807
127,996.51294
128,1023.36237
129,1071.2855
130,1136.0815
131,1150.5769
132,1114.2639
133,1172.8124
134,1107.4386
135,1033.6808
136,926.6138
137,900.04706
138,943.8722
139,986.34656
140,1012.28174
141,1076.0625
142,1138.2457
143,1151.9633
144,1157.0142
145,1180.7407
146,1109.6614
147,1034.2472
148,925.3048
149,893.8536
150,960.3727
151,1009.31775
152,1030.6763
153,1067.0679
154,1134.6844
155,1139.737
156,1173.873
157,1178.0819
158,1108.3439
159,1038.0691
160,921.368
161,899.97217
162,960.36957
163,1004.7936
164,1030.6853
165,1076.6636
166,1138.3685
167,1115.0703
168,1042.7515
169,1177.3978
170,1116.851
171,1035.0043
172,925.0091
173,881.10614
174,953.4054
175,998.1845
176,1025.1593
177,1080.7181
178,1140.1769
179,1168.009
180,1125.4155
181,1171.3987
182,1105.7789
183,1016.09235
184,919.40643
185,886.7478
186,955.77496
187,999.2368
188,1024.5918
189,1071.357
190,1138.5941
191,1143.7867
192,1139.2942
193,1167.8549
194,1103.5311
195,1023.4146
196,929.0825
197,893.5477
198,935.66187
199,1003.06104
200,1002.09
201,1076.3367
202,1147.8588
203,1175.4178
204,1118.2794
205,1173.9158
206,1107.6405
207,1039.8745
208,916.8477
209,882.5027
210,943.92914
211,993.2956
212,1007.698
213,1071.6034
214,1143.9185
215,1110.2651
216,1117.6368
217,1173.8867
218,1098.4882
219,1016.2483
220,912.00415
221,898.08966
222,956.70703
223,1001.2982
224,1016.92566
225,1079.2556
226,1144.0232
227,1155.9553
228,-2150885.8
229,1161.7136
230,1095.1093
231,1023.2287
232,918.2039
233,889.0821
234,963.91394
235,998.64606
236,1013.2867
237,1078.7261
238,1141.5101
239,1120.7642
240,1161.1571
241,1173.4432
242,1102.8392
243,1029.056
244,926.2287
245,893.26105
246,969.1806
247,999.3252
248,1012.5758
249,1073.0026
250,1132.5249
251,1122.3296
252,1126.5383
253,1174.6758
254,1103.2378
255,1029.5117
256,909.1593
257,872.3718
258,942.42175
259,976.6166
260,998.46204
261,1071.6451
262,1134.8895
263,1169.0627
264,1151.9298
265,1166.5682
266,1099.3894
267,1014.7308
268,910.5142
269,883.5732
270,951.52124
271,997.2928
272,1006.9316
273,1072.3779
274,1131.6326
275,1161.5391
276,1168.029
277,1180.9451
278,1097.8652
279,1013.98676
280,913.478
281,881.3783
282,942.0456
283,1009.8733
284,1021.2899
285,1071.2555
286,1130.2288
287,1082.476
288,1121.158
289,1179.9089
290,1102.9979
291,1015.3004
292,918.67865
293,884.94495
294,947.75385
295,995.8412
296,1014.80035
297,1074.8241
298,1134.2053
299,1150.1051
300,1114.4587
301,1180.1584
302,1100.303
303,1010.50244
304,905.82465
305,882.32733
306,946.4729
307,1008.1888
