,0
0,656.0426
1,663.4207
2,672.74774
3,682.5053
4,685.358
5,682.88104
6,687.38605
7,684.60974
8,683.29626
9,677.46295
10,667.15247
11,654.8543
12,657.55426
13,662.0084
14,671.45306
15,682.0814
16,685.6714
17,683.1828
18,687.7057
19,684.0024
20,683.14813
21,676.8042
22,667.46533
23,657.1068
24,654.6547
25,658.3837
26,672.2869
27,681.5992
28,685.08954
29,683.647
30,687.0038
31,686.32837
32,685.33905
33,677.7827
34,668.2455
35,657.4976
36,654.0207
37,3506.1455
38,673.62006
39,683.7221
40,685.0726
41,684.0276
42,687.0402
43,685.37305
44,683.5462
45,679.14154
46,671.0118
47,659.21423
48,655.4885
49,664.7442
50,673.1206
51,682.933
52,685.2055
53,684.045
54,687.8106
55,685.50757
56,684.37134
57,678.00885
58,668.21906
59,658.14606
60,653.2591
61,661.4769
62,672.0893
63,683.0755
64,684.4306
65,683.20416
66,686.8644
67,685.25757
68,683.8938
69,678.1218
70,668.96796
71,656.4898
72,651.803
73,662.2241
74,672.2742
75,683.0819
76,683.8147
77,683.4172
78,687.0669
79,686.2699
80,684.22986
81,678.75665
82,669.9081
83,-27.744
84,656.7977
85,662.87384
86,673.76526
87,683.57446
88,684.7311
89,683.8611
90,687.6252
91,685.9987
92,685.3342
93,677.65045
94,668.598
95,655.0199
96,7341.9966
97,661.1679
98,672.7607
99,682.49817
100,684.6866
101,683.4651
102,687.85925
103,685.61975
104,684.30414
105,677.8119
106,668.02344
107,659.19836
108,654.33875
109,662.443
110,673.93
111,683.66327
112,683.39923
113,682.7952
114,687.5645
115,685.5969
116,685.8582
117,678.8187
118,668.93646
119,660.2221
120,657.43634
121,663.7676
122,674.6009
123,684.26575
124,684.74115
125,683.93774
126,685.67755
127,686.48193
128,685.7257
129,678.49225
130,669.0574
131,661.0361
132,654.6622
133,662.9195
134,674.49664
135,684.6395
136,683.12714
137,683.8208
138,687.81445
139,686.7216
140,685.50543
141,678.7883
142,668.2843
143,658.7518
144,651.6478
145,662.5321
146,673.7396
147,684.31274
148,683.99274
149,683.9437
150,685.4874
151,686.4873
152,685.6649
153,678.5909
154,670.18164
155,661.59863
156,658.6692
157,662.81665
158,672.6352
159,682.84906
160,683.696
161,684.1678
162,686.962
163,685.5326
164,684.5431
165,678.8359
166,669.6969
167,658.22253
168,654.4223
169,662.5675
170,673.66626
171,684.8794
172,684.6547
173,683.93335
174,687.6806
175,686.8288
176,685.1503
177,679.1335
178,670.044
179,655.69934
180,655.28503
181,662.9299
182,674.89557
183,685.1018
184,684.211
185,683.6078
186,685.52606
187,686.4768
188,685.89667
189,679.3398
190,669.5121
191,658.97296
192,651.5388
193,662.6667
194,674.13196
195,684.4262
196,684.56323
197,684.1783
198,685.2531
199,686.24774
200,686.3419
201,679.672
202,671.0759
203,661.42004
204,658.3648
205,666.1727
206,675.80524
207,684.0934
208,682.97577
209,684.5182
210,684.68054
211,687.2908
212,687.4912
213,679.439
214,669.50055
215,658.21594
216,-4979.6826
217,665.2236
218,674.1134
219,685.1615
220,682.74695
221,683.1583
222,687.616
223,686.7394
224,686.36383
225,679.4371
226,669.6806
227,657.1344
228,659.55475
229,664.7488
230,674.2183
231,686.1156
232,683.0065
233,684.2117
234,684.6384
235,686.69354
236,685.83435
237,679.11115
238,669.3917
239,661.66437
240,659.498
241,665.5253
242,674.8761
243,686.3584
244,683.2537
245,684.108
246,684.99756
247,686.51
248,686.81244
249,679.3647
250,669.6499
251,663.1593
252,658.99744
253,664.7591
254,675.831
255,684.6514
256,682.7264
257,684.1581
258,685.16614
259,686.9555
260,686.2867
261,679.6022
262,669.79956
263,659.0228
264,658.88367
265,665.95447
266,676.62946
267,686.1333
268,682.60815
269,684.2909
270,684.6718
271,687.51605
272,686.5909
273,679.2192
274,670.55896
275,661.8742
276,661.12317
277,667.0109
278,677.5374
279,686.99963
280,683.13464
281,684.7305
282,685.06915
283,687.2709
284,686.9826
285,679.2331
286,672.6665
287,662.39954
288,659.2478
289,665.9564
290,676.7483
291,686.1916
292,682.93866
293,683.83765
294,685.72144
295,687.747
296,686.8829
297,680.8397
298,673.6388
299,662.4331
300,659.7797
301,667.0195
302,676.6165
303,687.1354
304,682.79297
305,683.9251
306,683.7761
307,687.4602
308,687.2504
309,681.7594
310,673.1336
311,663.6866
312,660.7742
313,667.7076
314,676.39294
315,686.8711
316,683.0807
317,685.1093
318,684.11505
319,687.4526
320,686.48425
321,680.17236
322,669.68146
323,658.31995
324,659.13794
325,667.2679
326,677.4119
327,687.7328
328,683.2048
329,684.41296
330,684.7715
331,687.5871
332,686.9526
333,680.41034
334,670.5176
335,662.8003
336,661.6336
337,667.5908
338,677.2463
339,686.72296
340,683.63226
341,684.93567
342,682.6315
343,687.354
344,687.3417
345,680.3299
346,672.30084
347,663.3178
348,662.4664
349,668.86255
350,678.8832
351,687.6861
352,683.6026
353,685.0291
354,686.86084
355,687.2196
356,687.0444
357,680.14966
358,670.90356
359,659.80164
360,660.40826
361,668.01483
362,677.3411
363,687.65045
364,683.3867
365,684.8155
366,682.8875
367,687.48267
368,686.88666
369,679.7812
370,669.72736
371,661.67755
372,659.82556
373,669.24567
374,678.7101
375,686.956
376,683.92346
377,685.5326
378,682.84174
379,685.7766
380,687.3716
381,681.5795
382,672.3744
383,661.9923
384,663.3037
385,670.08734
386,678.33075
387,687.7589
388,683.3684
389,684.854
390,682.8228
391,685.6324
392,687.52655
393,681.2599
394,673.4913
395,662.2408
396,661.7831
397,669.15564
398,678.76587
399,687.67584
400,683.3878
401,684.3546
402,683.3266
403,687.4823
404,687.4212
405,682.1159
406,672.5856
407,665.49994
408,662.9544
409,669.52026
410,678.2619
411,687.05084
412,683.6452
413,683.9559
414,685.34546
415,687.60925
416,687.3636
417,681.46344
418,672.562
419,662.59644
420,661.5065
421,669.13
422,678.55505
423,687.83673
424,684.22723
425,684.80084
426,683.4255
427,687.3659
428,687.3058
429,681.1568
430,670.6962
431,663.77045
432,660.8465
433,670.1945
434,678.6121
435,687.7041
436,683.1829
437,683.8171
438,682.7378
439,687.3628
440,687.3673
441,681.76
442,673.36597
443,664.1247
444,664.3155
445,669.9861
446,679.3919
447,685.9709
448,684.66815
449,685.39575
450,683.6714
451,687.46716
452,687.4561
453,681.97754
454,672.8189
455,667.26245
456,664.2923
457,671.102
458,679.14484
459,687.5733
460,683.99207
461,685.30835
462,682.74945
463,685.60516
464,685.67065
465,681.51654
466,674.4444
467,668.768
468,663.6395
469,671.5374
470,680.209
471,685.7631
472,684.86066
473,685.2544
474,682.67096
475,685.4666
476,685.63525
477,682.6748
478,674.4264
479,666.30133
480,665.56555
481,670.5191
