,0
0,1403.0416
1,1215.3435
2,811.14685
3,640.74664
4,557.9473
5,527.38007
6,594.8699
7,627.21027
8,641.4827
9,702.51636
10,1027.1201
11,1331.9084
12,1369.3528
13,1278.754
14,819.5904
15,648.6406
16,563.9614
17,528.4611
18,596.5895
19,632.9665
20,640.876
21,693.67096
22,1034.654
23,1386.2104
24,1415.0419
25,1245.3865
26,827.6523
27,660.9569
28,558.5588
29,517.35565
30,579.49585
31,625.125
32,634.3511
33,705.42303
34,1013.9065
35,1320.7343
36,1407.6078
37,1192.1056
38,801.36957
39,646.85205
40,553.51355
41,525.0342
42,580.5429
43,609.2348
44,630.10724
45,691.1528
46,931.21857
47,1354.0559
48,1365.5443
49,1171.4752
50,817.2689
51,649.26105
52,557.2169
53,517.8812
54,584.9985
55,618.03125
56,632.99567
57,693.2287
58,1020.22656
59,1345.5367
60,1380.8667
61,1254.6714
62,830.4957
63,642.0568
64,553.27075
65,520.53156
66,579.91394
67,618.5042
68,625.4706
69,686.71783
70,951.09314
71,1281.3663
72,1449.6659
73,1234.2688
74,821.8474
75,641.6009
76,554.3511
77,520.4929
78,575.09015
79,611.5229
80,631.71295
81,691.05524
82,993.8765
83,1366.8768
84,1437.0421
85,1274.5863
86,805.54474
87,650.86066
88,560.89185
89,517.5853
90,567.269
91,598.9377
92,625.4679
93,673.1238
94,894.7542
95,1320.7703
96,1351.7574
97,1178.7777
98,805.97394
99,646.77344
100,564.99915
101,529.04285
102,583.6065
103,618.39667
104,635.3986
105,698.77606
106,978.7478
107,1350.8877
108,1369.1523
109,1184.4174
110,787.3321
111,638.2965
112,550.3518
113,513.38324
114,574.0316
115,622.3929
116,638.6098
117,686.4988
118,915.18335
119,1287.9336
120,1418.9065
121,1247.1235
122,817.62195
123,657.1655
124,548.8775
125,506.29913
126,572.0378
127,608.1072
128,631.2451
129,694.05615
130,904.5985
131,1237.2968
132,1333.0823
133,1147.5647
134,784.68896
135,639.8336
136,553.8893
137,527.6115
138,567.18066
139,599.5588
140,623.67126
141,687.4983
142,903.7754
143,1295.3951
144,1334.7295
145,1187.5597
146,804.2424
147,638.0637
148,552.4933
149,519.6436
150,579.1262
151,619.6848
152,638.79126
153,703.2462
154,933.992
155,1316.2255
156,1575.2277
157,1181.0573
158,788.2712
159,641.6002
160,548.03864
161,527.246
162,578.92773
163,615.6389
164,638.73303
165,689.42035
166,985.3968
167,1328.1525
168,1478.7253
169,1281.3772
170,824.06433
171,641.25903
172,551.7538
173,502.25235
174,573.8518
175,610.6318
176,633.1966
177,683.08844
178,910.4564
179,1264.7145
180,1350.2377
181,1161.4717
182,791.03973
183,622.1408
184,546.21277
185,510.51315
186,575.79553
187,610.3867
188,633.99243
189,688.62115
190,971.10834
191,1302.2397
192,1337.1033
193,1111.7941
194,794.41534
195,628.43915
196,556.22046
197,519.12805
198,561.3425
199,614.99915
200,613.0809
201,674.2592
202,989.0614
203,1407.3948
204,1357.7999
205,1140.3678
206,803.583
207,643.20087
208,543.7457
209,504.91782
210,567.3426
211,605.0419
212,617.992
213,686.3386
214,937.3726
215,1353.1742
216,1390.2155
217,1128.5503
218,768.0686
219,621.3947
220,539.35913
221,525.3573
222,576.46313
223,613.39215
224,626.8476
225,692.6301
226,892.95905
227,1295.0153
228,1336.6372
229,1092.4391
230,763.384
