,0
0,656.7833
1,661.7526
2,671.03564
3,685.4545
4,728.5511
5,765.3536
6,702.17633
7,690.65436
8,687.4473
9,676.5717
10,664.7362
11,656.1571
12,657.57025
13,660.6744
14,669.6812
15,684.5733
16,725.4351
17,780.95264
18,703.75165
19,688.8549
20,686.9947
21,675.64124
22,665.131
23,657.273
24,656.2423
25,658.14154
26,670.5022
27,683.5366
28,730.8488
29,784.7713
30,719.0556
31,696.22125
32,692.5755
33,677.048
34,666.13544
35,657.5317
36,655.80096
37,223.16939
38,672.0273
39,687.95575
40,730.7965
41,796.20654
42,700.1754
43,692.97
44,687.8988
45,679.1588
46,668.95856
47,658.6615
48,656.49133
49,662.7336
50,671.3475
51,686.45404
52,729.503
53,790.7755
54,714.32697
55,693.36633
56,689.9464
57,677.4071
58,666.10767
59,657.97546
60,655.4754
61,660.221
62,670.3065
63,686.72235
64,742.04114
65,778.80585
66,699.07306
67,692.47375
68,688.7294
69,677.5022
70,666.81537
71,656.93097
72,654.8815
73,660.88617
74,670.51996
75,686.5412
76,746.2189
77,783.94385
78,719.02594
79,696.3856
80,689.6613
81,678.5297
82,667.85986
83,659.16394
84,657.10724
85,661.3661
86,672.10974
87,687.8737
88,737.9563
89,787.5828
90,711.63477
91,695.5612
92,693.1153
93,676.85626
94,666.4928
95,656.22095
96,1242.3492
97,660.06036
98,671.112
99,685.3242
100,739.49054
101,790.0644
102,711.7124
103,693.6297
104,689.8064
105,677.0392
106,668.51276
107,658.69666
108,655.96423
109,661.06146
110,672.34894
111,688.0749
112,749.8267
113,776.60004
114,712.4878
115,693.94025
116,695.0244
117,678.655
118,666.78577
119,659.36053
120,657.50354
121,662.11487
122,673.1086
123,689.4016
124,738.3998
125,798.7203
126,726.3984
127,697.4046
128,694.34955
129,678.0986
130,666.9113
131,659.9079
132,656.106
133,661.4939
134,672.98773
135,690.2307
136,754.58356
137,793.3542
138,712.697
139,699.37805
140,693.4087
141,678.5556
142,666.12823
143,658.3914
144,654.8162
145,661.1329
146,672.1186
147,689.38245
148,745.45557
149,791.6267
150,728.4857
151,697.22626
152,694.16815
153,678.3206
154,668.0881
155,660.2462
156,658.3453
157,661.28424
158,670.8451
159,686.2203
160,748.2917
161,802.8175
162,719.1342
163,693.4879
