,0
0,182.274
1,256.21762
2,528.66156
3,604.6717
4,598.523
5,590.76794
6,603.02216
7,601.33026
8,601.44696
9,598.26733
10,437.27386
11,230.31184
12,156.38673
13,262.92783
14,556.56744
15,604.17395
16,601.8915
17,585.5292
18,601.36414
19,602.5431
20,601.88385
21,599.8349
22,404.443
23,223.03127
24,192.5154
25,252.06386
26,561.68463
27,603.70074
28,596.6613
29,584.63556
30,600.9584
31,603.0831
32,602.6057
33,597.9154
34,411.38452
35,213.3365
36,204.88814
37,258.95395
38,570.36615
39,604.1945
40,601.1963
41,590.46204
42,600.41125
43,601.74445
44,602.176
45,598.50024
46,461.6626
47,228.51137
48,201.27345
49,242.27101
50,547.4714
51,604.9638
52,599.5962
53,584.69586
54,601.961
55,601.6749
56,602.16534
57,597.2949
58,402.83606
59,228.45326
60,200.32924
61,260.5281
62,573.42126
63,604.6364
64,597.9512
65,585.5624
66,600.92615
67,601.55444
68,602.72314
69,597.80566
70,445.53604
71,223.57826
72,213.63722
73,275.82828
74,564.67395
75,603.79047
76,599.1852
77,586.2295
78,600.45087
79,601.92053
80,603.1422
81,599.13947
82,458.28757
83,223.83382
84,193.87434
85,269.6752
86,533.50964
87,605.0451
88,601.8872
89,583.14374
90,602.15967
91,602.3685
92,601.15076
93,598.21155
94,387.71622
95,217.48634
96,230.33058
97,306.21848
98,555.1413
99,604.81305
100,594.99603
101,578.9083
102,602.03375
103,601.3522
104,601.5813
105,599.57776
106,433.81427
107,208.2422
108,189.93605
109,285.66306
110,574.1216
111,604.15076
112,597.35913
113,579.82043
114,603.1608
115,601.7694
116,602.38196
117,599.9213
118,405.51584
119,225.25581
120,197.79335
121,290.95206
122,570.42194
123,604.8911
124,600.961
125,582.4838
126,599.16644
127,602.4738
128,602.368
129,598.97577
130,441.80014
131,224.93056
132,212.21071
133,335.38596
134,576.38947
135,604.2474
136,595.65466
137,583.11127
138,600.8426
139,602.04474
140,602.50275
141,601.17676
142,448.65796
143,225.7546
144,203.56166
145,297.30936
146,575.2367
147,604.78046
148,596.2861
149,583.24506
150,601.52826
151,601.8194
152,602.3611
153,597.9828
154,375.7232
155,230.96852
156,199.04738
157,289.2606
158,568.0609
159,604.41406
160,596.2357
161,581.4246
162,597.1058
163,601.6385
164,602.40564
165,598.8653
166,500.2281
167,248.66994
168,2379.663
169,325.83127
170,571.69147
171,605.55005
172,594.1311
173,582.56476
174,599.9971
175,601.24744
176,601.6964
177,598.8359
178,438.60303
179,240.98311
180,222.60097
181,305.0864
182,567.4855
183,604.291
184,595.8037
185,587.045
186,601.4373
187,602.0302
188,601.87244
189,598.19727
190,450.09116
191,168.57497
192,174.31465
193,235.8993
194,576.4815
195,604.06573
196,600.43896
197,581.7183
198,598.9625
199,601.2818
200,602.2274
201,600.37506
202,464.45685
203,283.94205
204,210.97658
205,298.23257
206,572.96344
207,605.528
208,593.38824
209,580.2323
210,599.014
211,601.63916
212,603.51715
213,598.70325
214,409.07935
215,252.19392
216,214.55812
217,312.04355
218,592.63684
219,605.4288
220,597.27625
221,580.9652
222,599.6702
223,602.25757
224,601.56055
225,598.6951
226,472.18228
227,274.981
228,240.4233
229,345.3901
230,577.92944
231,604.66547
232,597.69836
233,587.5932
234,599.2413
235,602.2924
236,603.30707
237,600.3306
238,403.4416
239,211.45076
240,191.05
241,116.826805
242,533.24084
243,605.055
244,597.3462
245,583.8671
246,599.45905
247,601.91254
248,601.5517
249,599.75397
250,443.51556
251,219.30421
252,215.19716
253,308.9578
254,582.7974
255,605.09906
256,595.0922
257,579.9804
258,597.3718
259,601.84564
260,602.81165
261,600.6068
262,471.4506
263,236.37416
264,222.3592
265,323.19217
266,587.97473
267,604.8155
268,595.5136
269,576.3991
270,599.88214
271,601.50024
272,601.273
273,599.0546
274,462.4562
275,249.96742
276,222.90321
277,341.0964
278,590.67816
279,605.19104
280,588.39813
281,579.4671
282,598.6831
283,602.4364
284,602.2677
285,598.8901
286,448.88474
287,242.24336
288,223.74574
289,372.7261
290,595.25275
291,604.2574
292,589.4089
293,577.0665
294,598.85785
295,601.74536
296,602.5118
297,600.98065
298,443.42715
299,242.7607
300,218.4795
301,356.54526
302,596.7494
303,604.5538
304,591.8392
305,572.8893
306,598.5212
307,601.2887
308,602.6674
309,599.9079
310,466.3155
311,232.17159
312,227.8976
313,318.49576
314,578.4168
315,604.9686
316,592.27094
317,579.45856
318,600.40247
319,601.6502
320,602.78564
321,600.4492
322,464.59933
323,250.99092
324,245.15224
325,386.1175
326,593.4371
327,605.6761
328,591.64966
329,572.89453
330,596.11884
331,602.131
332,602.4752
333,599.0199
334,509.53952
335,282.6937
336,251.01918
337,363.056
338,591.2838
339,605.23584
340,591.9385
341,571.47046
342,599.9724
343,600.86993
344,602.1732
345,599.5541
346,492.81323
347,248.21321
348,243.77388
349,386.70892
350,589.5896
351,605.5766
352,587.29816
353,575.6119
354,599.34436
355,600.8359
356,602.05585
357,599.77686
358,482.9454
359,258.79703
360,250.584
361,408.5094
362,597.2874
363,605.5093
364,586.36334
365,574.1468
366,596.75275
367,600.8742
368,601.87103
369,600.2035
370,473.49356
371,252.77797
372,251.98848
373,371.20663
374,592.99854
375,605.267
376,591.61615
377,576.1472
378,597.12695
379,601.6073
380,601.49243
381,599.0252
382,477.45956
383,255.21364
384,257.39255
385,412.11197
386,597.7778
387,604.8952
388,585.69556
389,578.51074
390,602.3004
391,601.4565
392,602.356
393,599.34265
394,410.88605
395,219.9958
396,208.55525
397,346.88284
398,594.9454
399,604.9846
400,587.93054
401,577.22534
402,600.5731
403,601.3785
404,601.7743
405,600.74677
406,479.47513
407,267.3165
408,230.68568
409,362.3093
410,597.14984
411,605.2214
412,590.9756
413,582.6108
414,597.24963
415,601.35956
416,602.3588
417,599.88934
418,426.67648
419,252.5514
420,225.37227
421,388.1142
422,599.5972
423,605.595
424,587.4486
425,571.34985
426,595.9184
427,601.5448
428,602.5047
429,601.0883
430,475.6603
431,279.4208
432,245.83736
433,399.90674
434,599.66376
435,604.8849
436,585.9977
437,574.5306
438,595.57056
439,601.3404
440,601.94434
441,599.8085
442,460.22534
443,229.53902
444,246.69185
445,396.68256
446,598.83765
447,605.46014
448,586.00354
449,576.16895
450,600.3758
451,600.8421
452,601.28973
453,600.9766
454,471.01205
455,300.8771
456,255.13857
457,405.38184
458,598.1482
459,604.2939
460,585.41925
461,564.12146
462,591.77216
463,600.1423
464,602.76166
465,601.771
466,509.9417
467,260.75565
468,273.9089
