,0
0,360.3677
1,396.31805
2,537.06726
3,661.38904
4,441.0264
5,372.44705
6,538.6596
7,622.45624
8,654.98816
9,661.71423
10,482.29163
11,383.62683
12,332.26645
13,399.39313
14,560.72424
15,661.2152
16,470.66888
17,336.51248
18,503.22495
19,607.86597
20,651.39954
21,679.8836
22,465.73477
23,380.44656
24,365.72916
25,394.3115
26,567.11597
27,656.87067
28,422.97617
29,341.51572
30,497.8315
31,568.6681
32,626.9984
33,653.31476
34,469.1492
35,375.67337
36,371.85202
37,397.69724
38,574.1297
39,648.9465
40,475.8533
41,371.51456
42,481.81927
43,604.6156
44,637.04987
45,670.26495
46,495.30823
47,381.7855
48,369.8436
49,389.96317
50,552.1549
51,648.2562
52,457.82422
53,333.11697
54,538.3135
55,600.7235
56,610.803
57,644.9663
58,464.96982
59,382.8426
60,369.89877
61,398.39297
62,575.98804
63,648.2029
64,439.22742
65,338.54214
66,503.17578
67,602.0497
68,607.58527
69,654.0565
70,486.72034
71,380.68384
72,376.10635
73,405.70013
74,566.209
75,667.99286
76,443.44577
77,343.0853
78,491.10376
79,594.28876
80,617.8071
81,674.88806
82,493.50278
83,380.7546
84,366.5341
85,402.3131
86,540.2635
87,629.25134
88,470.5917
89,324.84738
90,517.38696
91,579.86456
92,624.25024
93,656.30035
94,457.48138
95,377.63556
96,383.886
97,419.07822
98,559.6602
99,646.71796
100,401.7082
101,306.0284
102,513.9177
103,608.9888
104,645.5608
105,686.04443
106,480.58514
107,373.26358
108,364.30374
109,409.85663
110,582.04724
111,635.57336
112,426.49493
113,310.01816
114,537.6669
115,600.16125
116,652.456
117,682.4528
118,466.40942
119,381.3004
120,368.27847
121,412.2677
122,575.1726
123,637.7428
124,462.71756
125,319.50125
126,468.18893
127,565.3641
128,610.5937
129,676.4327
130,484.806
131,381.22046
132,375.2793
133,433.0375
134,584.0782
135,644.34576
136,408.86346
137,330.1163
138,504.66635
139,620.8991
140,623.3668
141,698.8
142,488.24777
143,381.4638
144,371.0789
145,415.3599
146,583.3622
147,631.62885
148,415.0682
149,333.56357
150,534.1801
151,612.1539
152,627.7418
153,657.1648
154,451.6619
155,384.07724
156,369.05234
157,411.65607
158,571.6275
159,649.7777
160,417.86636
161,319.48068
162,442.9622
163,562.82074
164,604.66364
165,670.6476
166,517.04877
167,392.4076
168,2321.1616
169,428.6585
170,577.5694
171,614.93085
172,397.98093
173,320.32346
174,484.1676
175,602.30853
176,619.36566
177,673.0235
178,483.03137
179,388.3342
180,380.042
181,418.6535
182,570.54443
183,653.55084
184,412.9962
185,352.54794
186,534.5629
187,598.63654
188,627.8937
189,665.4776
190,489.0778
191,352.46658
192,356.21487
193,386.68152
194,582.42523
195,649.2333
196,454.83884
197,318.15732
198,462.8093
199,533.7728
200,585.22424
201,687.5656
202,496.74783
203,408.46057
204,374.9001
205,415.45132
206,577.37244
207,616.76996
208,386.41473
209,312.94583
210,471.5909
211,597.00275
212,612.03656
213,663.65814
214,467.92352
215,393.66168
216,376.11673
217,421.71716
218,619.8457
219,596.80084
220,426.13232
221,319.01395
222,489.86206
223,568.33405
224,643.3555
225,667.56244
226,501.0117
227,404.31628
228,388.76694
229,437.74704
230,587.33466
231,626.32227
232,425.02545
233,349.2377
234,471.1012
235,568.42255
236,592.0986
237,700.1754
238,465.36142
239,374.4969
240,364.73154
241,122.045616
242,539.52106
243,624.00964
244,410.22397
245,329.92038
246,477.71667
247,582.5191
248,624.1543
249,684.82306
250,485.5745
251,378.58676
252,377.00354
253,420.62155
254,593.5963
255,604.3204
256,398.7814
257,312.02646
258,459.63513
259,568.68756
260,581.0778
261,700.09595
262,500.61713
263,386.5731
264,380.04926
265,427.60767
266,603.8841
267,609.89514
268,406.36282
269,297.38657
270,475.039
271,593.85785
272,615.608
273,680.2283
274,495.72232
275,392.92816
276,380.2581
277,435.32138
278,612.2935
279,587.5817
280,356.6783
281,306.91293
282,457.15417
283,570.726
284,614.7994
285,675.2278
286,488.4216
287,388.9309
288,380.79413
289,450.43848
290,631.5252
291,574.2288
292,359.0322
293,299.67764
294,472.40265
295,578.01056
296,607.7492
297,697.12634
298,485.4862
299,389.50467
300,378.25406
301,444.6111
302,638.5385
303,581.7177
304,380.09705
305,281.83176
306,447.083
307,543.3765
308,580.43176
309,688.323
310,497.80792
311,384.62796
312,382.90204
313,424.49744
314,583.2654
315,615.7684
316,383.15982
317,306.24844
318,480.9751
319,551.89404
320,599.8316
321,686.55676
322,496.84766
323,393.10352
324,390.30304
325,456.70908
326,627.11755
327,563.55023
328,368.69376
329,278.08572
330,435.08704
331,542.535
332,568.50085
333,667.4052
334,522.67365
335,407.95905
336,393.4086
337,445.95428
338,611.489
339,597.6069
340,379.86542
341,274.94016
342,477.02045
343,545.3397
344,588.525
345,694.25397
346,512.67236
347,391.8696
348,390.24252
349,457.46677
350,614.0052
351,572.1132
352,344.996
353,287.63748
354,475.6817
355,532.41724
356,573.5321
357,693.8782
358,507.05597
359,396.78152
360,393.64767
361,468.21027
362,641.27966
363,585.13245
364,345.67252
365,289.21823
366,441.94882
367,510.80685
368,594.05743
369,702.1816
370,501.82675
371,394.1869
372,394.05518
373,449.5335
374,620.9967
375,560.4883
376,370.97446
377,295.3931
378,444.42276
379,528.8152
380,553.8764
381,676.9362
382,503.99515
383,395.10745
384,396.4889
385,469.78918
